Training 25M...
  5M
  10M
  15M
  20M
  25M
Trained.
Testing 50M with snapshots every 100K...
  10M
N,corr,z,corr_x_sqrtN
37500000,0.0000321381,0.1968,0.196805
37600000,0.0000306164,0.1877,0.187736
37700000,0.0000384715,0.2362,0.236216
37800000,0.0000312074,0.1919,0.191869
37900000,0.0000174002,0.1071,0.107121
38000000,0.0000168039,0.1036,0.103586
38100000,0.0000142674,0.0881,0.088066
38200000,0.0000259878,0.1606,0.160621
38300000,0.0000236199,0.1462,0.146177
38400000,0.0000331559,0.2055,0.205460
38500000,0.0000306856,0.1904,0.190399
38600000,0.0000230115,0.1430,0.142968
38700000,0.0000262212,0.1631,0.163120
38800000,0.0000144321,0.0899,0.089897
38900000,0.0000144494,0.0901,0.090121
39000000,0.0000016628,0.0104,0.010384
39100000,-0.0000064508,-0.0403,-0.040337
39200000,-0.0000035164,-0.0220,-0.022016
39300000,0.0000072769,0.0456,0.045618
39400000,0.0000016609,0.0104,0.010425
39500000,-0.0000072695,-0.0457,-0.045688
39600000,0.0000052131,0.0328,0.032805
39700000,0.0000062571,0.0394,0.039425
39800000,0.0000039664,0.0250,0.025023
39900000,0.0000030448,0.0192,0.019233
40000000,-0.0000044345,-0.0280,-0.028046
40100000,-0.0000092504,-0.0586,-0.058577
40200000,-0.0000014389,-0.0091,-0.009123
40300000,-0.0000127009,-0.0806,-0.080629
40400000,-0.0000262134,-0.1666,-0.166615
40500000,-0.0000136196,-0.0867,-0.086674
40600000,-0.0000206970,-0.1319,-0.131877
40700000,-0.0000364960,-0.2328,-0.232832
40800000,-0.00003  50M
09953,-0.1980,-0.197982
40900000,-0.0000393110,-0.2514,-0.251406
41000000,-0.0000411556,-0.2635,-0.263525
41100000,-0.0000380171,-0.2437,-0.243725
41200000,-0.0000433212,-0.2781,-0.278067
41300000,-0.0000438069,-0.2815,-0.281525
41400000,-0.0000340121,-0.2188,-0.218843
41500000,-0.0000381410,-0.2457,-0.245706
41600000,-0.0000303166,-0.1955,-0.195536
41700000,-0.0000282326,-0.1823,-0.182314
41800000,-0.0000253581,-0.1639,-0.163948
41900000,-0.0000258945,-0.1676,-0.167616
42000000,-0.0000333146,-0.2159,-0.215903
42100000,-0.0000271516,-0.1762,-0.176172
42200000,-0.0000198564,-0.1290,-0.128990
42300000,-0.0000331989,-0.2159,-0.215921
42400000,-0.0000264944,-0.1725,-0.172519
42500000,-0.0000194522,-0.1268,-0.126813
42600000,-0.0000179232,-0.1170,-0.116983
42700000,-0.0000186641,-0.1220,-0.121961
42800000,-0.0000097038,-0.0635,-0.063484
42900000,-0.0000084724,-0.0555,-0.055493
43000000,0.0000002714,0.0018,0.001780
43100000,0.0000023726,0.0156,0.015576
43200000,-0.0000057734,-0.0379,-0.037947
43300000,0.0000010572,0.0070,0.006956
43400000,0.0000043526,0.0287,0.028674
43500000,0.0000039010,0.0257,0.025729
43600000,0.0000049422,0.0326,0.032633
43700000,0.0000079765,0.0527,0.052730
43800000,0.0000114131,0.0755,0.075534
43900000,0.0000215865,0.1430,0.143026
44000000,0.0000201644,0.1338,0.133756
44100000,0.0000126666,0.0841,0.084116
44200000,0.0000195973,0.1303,0.130289
44300000,0.0000210534,0.1401,0.140128
44400000,0.0000126349,0.0842,0.084190
44500000,0.0000088905,0.0593,0.059307
44600000,0.0000117268,0.0783,0.078315
44700000,0.0000179101,0.1197,0.119743
44800000,0.0000169091,0.1132,0.113177
44900000,0.0000219737,0.1472,0.147240
45000000,0.0000239167,0.1604,0.160438
